station_code;location_code;location_name;country_code;country_code_border;y_coord;x_coord;y_coord_end;x_coord_end;catchment;altitude;distance_to_mouth;distance_to_mouth_end;river;remark
JDS38;L;Upstream Pancevo/Downstream Sava;RS;;44.853183;20.576850;;;;;1159;;;
JDS38;M;Upstream Pancevo/Downstream Sava;RS;;44.849433;20.574033;;;;;1159;;;
JDS38;R;Upstream Pancevo/Downstream Sava;RS;;44.845200;20.574383;;;;;1159;;;
JDS39;L;Downstream Pancevo;RS;;44.812867;20.644950;;;;;1151;;;
JDS39;M;Downstream Pancevo;RS;;44.814467;20.644433;;;;;1151;;;
JDS39;R;Downstream Pancevo;RS;;44.814633;20.640500;;;;;1151;;;
JDS40;L;Upstream Velika Morava;RS;;44.724700;21.000683;;;;;1107;;;
JDS40;M;Upstream Velika Morava;RS;;44.719667;21.003517;;;;;1107;;;
JDS40;R;Upstream Velika Morava;RS;;44.716467;21.006883;;;;;1107;;;
JDS41;L;/Velika Morava ;RS;;44.704447;21.0382;;;;;1103;;;
JDS41;M;/Velika Morava ;RS;;44.709267;21.035700;;;;;1103;;;
JDS41;R;/Velika Morava ;RS;;44.704398;21.039077;;;;;1103;;;
JDS42;L;Downstream Velika Morava;RS;;44.736550;21.123300;;;;;1095;;;
JDS42;M;Downstream Velika Morava;RS;;44.733350;21.122817;;;;;1095;;;
JDS42;R;Downstream Velika Morava;RS;;44.729767;21.120650;;;;;1095;;;
JDS43;L;Banatska Palanka/Bazias;RS;RO;44.805083;21.389917;;;;;1073;;;
JDS43;M;Banatska Palanka/Bazias;RS;RO;44.805100;21.383800;;;;;1073;;;
JDS43;R;Banatska Palanka/Bazias;RS;RO;44.804250;21.381017;;;;;1073;;;
JDS44;L;Irongate reservoir (Golubac/Koronin);RS;RO;44.668300;21.687917;;;;;1040;;;
JDS44;M;Irongate reservoir (Golubac/Koronin);RS;RO;44.664567;21.686233;;;;;1040;;;
JDS44;R;Irongate reservoir (Golubac/Koronin);RS;RO;44.661950;21.685617;;;;;1040;;;
JDS45;L;Irongate reservoir (Tekija/Orsova);RS;RO;44.692033;22.399517;;;;;956;;;
JDS45;M;Irongate reservoir (Tekija/Orsova);RS;RO;44.688650;22.401733;;;;;956;;;
JDS45;R;Irongate reservoir (Tekija/Orsova);RS;RO;44.683267;22.404783;;;;;956;;;
JDS46;L;Vrbica/Simijan;RS;RO;44.605650;22.710533;;;;;926;;;
JDS46;M;Vrbica/Simijan;RS;RO;44.604617;22.706717;;;;;926;;;
JDS46;R;Vrbica/Simijan;RS;RO;44.601533;22.702483;;;;;926;;;
JDS47;L;Upstream Timok (Rudujevac/Gruia);RS;RO;44.260883;22.688983;;;;;847;;;
