Row Labels;JDS1;JDS10;JDS11;JDS12;JDS13;JDS14;JDS15;JDS16;JDS17;JDS18;JDS19;JDS2;JDS20;JDS21;JDS22;JDS23;JDS24;JDS25;JDS26;JDS27;JDS28;JDS29;JDS3;JDS30;JDS31;JDS32;JDS33;JDS34;JDS35;JDS36;JDS37;JDS38;JDS39;JDS4;JDS40;JDS41;JDS42;JDS43;JDS44;JDS45;JDS46;JDS47;JDS48;JDS49;JDS5;JDS50;JDS51;JDS52;JDS53;JDS54;JDS55;JDS56;JDS57;JDS58;JDS59;JDS6;JDS60;JDS61;JDS62;JDS63;JDS64;JDS65;JDS66;JDS67;JDS68;JDS7;JDS8;JDS9
171118-09-5;0.025;;;;;;0.05;;;0.05;0.05;;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.025;0.05;0.025;0.05;0.05;;0.05;0.025;0.05;0.05;0.05;0.05;0.05;0.05;0.025;0.05;;0.05;0.025;0.05;0.05;0.05;0.025;0.05;0.025;0.025;0.025;0.05;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;;;
17254-80-7;0.05;0.025;0.025;;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.05;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.05;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.05;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.05;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.05
1763-23-1;;;;;;;0.00109;;;;;;;;;;;;;;;;;;;;;;0.00109;;;;;;;;;;;;;;;;;;;;;;;0.00109;;;;;;;;;0.00109;;;;;;;
1812-30-2;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001
1912-24-9;;0.005;;;0.005;;;;;;;;;;;;;;;;;0.005;;0.005;;;;;;;0.005;0.005;;;;0.005;;;;0.005;;;;;;;0.005;;;0.005;;;0.005;;0.005;;;0.005;;0.005;;;0.005;;;;;0.005
191-24-2;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
193-39-5;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;;0;;0;0;0;;0;0;0;0;0;;0;0;0;0;0;0;;0;;0;;0;0;0;0;0;;0;;0;0;0;0;0;0;;;0;0;0;0;;;0;0;0;0
205-99-2;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;;0.002;;0.002;0.002;0.002;;0.002;0.002;0.002;0.002;;;0.002;0.002;0;0.002;0.002;0.002;0.002;0;0;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
206-44-0;;;;;;;;;;;;;;0.002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.002;;;0.002;;0.002;;0.002;;0.002;0.002;;;0.002;0.002;;;;;;
207-08-9;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;;0.002;0
21312-10-7;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;;0.02;0.02;0.02;0.02;0.02;0.02;;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;;0.02;;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
22316-47-8;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;;;0.001;0.001;0.001;0.001;;0.001;0.001;0.001;0.001;;0.001;0.001;0.001;;0.001;0.001;0.001;0.001;;0.001;0.001;0.001;;;;;0.001;;0.001;;;;;0.001;0.001;;;0.001;;0.001;;;0.001;0.001;0.001;0.001;0.001;0.001;0.001;;0.001;0.001;0.001;0.001;0.001;0.001
