Row Labels;JDS1;JDS10;JDS11;JDS12;JDS13;JDS14;JDS15;JDS16;JDS17;JDS18;JDS19;JDS2;JDS20;JDS21;JDS22;JDS23;JDS24;JDS25;JDS26;JDS27;JDS28;JDS29;JDS3;JDS30;JDS31;JDS32;JDS33;JDS34;JDS35;JDS36;JDS37;JDS38;JDS39;JDS4;JDS40;JDS41;JDS42;JDS43;JDS44;JDS45;JDS46;JDS47;JDS48;JDS49;JDS5;JDS50;JDS51;JDS52;JDS53;JDS54;JDS55;JDS56;JDS57;JDS58;JDS59;JDS6;JDS60;JDS61;JDS62;JDS63;JDS64;JDS65;JDS66;JDS67;JDS68;JDS7;JDS8;JDS9
58955-93-4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;
5915-41-3;2;2;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;1;1;2;2;2;1;1;1;2;2;1;2;2;2;1;2;1;1;1;3;1;1;1;1;1;1;2;2;1;2;2;2;1;1;1;3;2;2;1;1;1
59467-64-0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;;1;1;;;1;1
60207-90-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
604-75-1;1;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;1;;;;;1;;;;;;;;;;;;1;1;;;1;;1;;;;;;;;;1;;;;;;;
61177-44-4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
6190-65-4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;1;;;;;;;1;;;;1;;;1;;;1;;1;;;;;3;1;;;;;;;
62-73-7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
6339-19-1;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;1;;1;;;;;1;;;1;;1;;1;1;;;1;;1;1;1;1;1;1;1;;1;1;;1;1;1;1;;1;;;
64532-95-2;2;2;1;1;1;1;2;2;2;2;1;2;2;1;1;1;1;1;1;1;1;2;2;1;1;;1;1;2;1;1;1;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1
668-34-8;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
67129-08-2;2;4;4;2;4;2;4;2;4;2;4;3;4;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;4;4;2;4;4;4;2;4;4;2;4;2;4;2;4;4;4;4;4;4;1;4;4;4;4;4;4;4
68011-66-5;1;3;2;;3;2;3;1;3;1;3;3;3;3;3;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;;3;3;3;3;3;3;;3;3;3;;3;3;1;3;;3;;3;3;3;3;3;3;1;3;3;3;3;3;3;3
69610-10-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
723-46-6;;3;1;;2;2;;;1;1;3;;;;1;1;1;3;1;1;2;2;;3;2;1;3;3;1;3;2;3;3;;2;;3;3;2;2;3;3;;3;;3;;2;3;1;3;;3;;1;;1;3;2;3;;2;2;1;3;;;
72960-62-2;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
74070-46-5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
7439-97-6;1;1;1;1;1;1;1;1;;;;1;;;;;;;;;1;;;;;;;;;1;;;;;;1;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;1;1
7440-43-9;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
77-10-1;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;1;;1;1;;1;;;
7723-14-0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
77-26-9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
78-51-3;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;1;1;1;;1;1;1;;;;;1;1;1;;;1;1;1;1;1;;1;;1;;;;1;1;;;;;1;;;
80-05-7;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;1;2;1;2;1;2;2;2;2;2;2;2;2;2;1;1;1
80-09-1;1;3;2;1;3;1;3;1;3;1;3;3;3;3;3;1;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;3;3;3;3;3;3;1;3;3;3;1;3;3;1;3;1;3;1;3;3;3;3;3;3;1;3;2;3;3;3;3;3
81103-11-9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
83881-51-0;1;3;3;;3;3;3;1;2;;2;3;3;3;3;1;3;3;3;3;2;2;3;3;3;3;3;3;2;3;2;3;3;3;3;1;3;3;3;3;3;3;1;3;3;3;;3;3;1;3;1;3;1;3;3;3;3;3;3;1;3;3;3;3;3;3;2
846-49-1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
846-50-4;1;;1;1;1;1;;1;1;1;1;1;1;1;1;1;;1;1;1;1;;1;1;1;;1;1;1;1;1;1;;1;1;;;;1;1;1;1;;1;1;1;1;1;1;1;1;1;;;1;1;1;1;1;1;1;1;1;1;;1;1;1
85535-84-8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
87-86-5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
882-09-7;1;3;3;1;3;1;3;1;3;1;3;3;3;3;3;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;3;3;3;3;3;3;1;3;3;3;1;3;3;1;3;1;3;1;3;3;3;3;3;3;1;3;3;3;3;3;3;3
886-50-0;;;1;1;1;1;;;;;1;;;1;1;1;1;;1;;1;1;;1;1;;1;1;1;1;1;1;1;;1;1;1;;1;1;;1;2;1;;;1;;;3;1;;1;;1;;1;1;2;1;1;1;1;;1;1;;
91-20-3;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93-65-2;1;3;3;1;3;2;3;1;3;1;3;3;3;3;3;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;3;3;3;3;3;3;1;3;3;3;1;3;3;1;3;1;3;1;3;3;3;3;3;3;1;3;3;3;3;3;3;3
94410-05-6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1
94-74-6;1;3;3;1;3;3;3;1;3;1;3;3;3;3;3;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;2;3;3;3;3;3;3;2;3;3;3;1;3;3;1;3;1;3;2;3;3;3;3;3;3;1;3;3;3;3;3;3;3
94-75-7;2;4;4;2;4;2;4;2;4;2;3;4;4;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;4;4;2;4;4;4;2;4;4;2;4;2;4;2;5;4;4;4;5;4;2;4;4;5;4;4;4;4
95-14-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;1;;1;;1;;;;;;;
96525-23-4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
